gene,RNA.auc,RNA.pval,motif.feature,motif.auc,motif.pval,avg_auc,celltype
Sox11,0.7046589959221121,3.198382851323985e-116,MA0869.3,0.5322121861576651,3.1462291620642504e-4,0.6184355910398887,Neural Progenitor
Mlxip,0.5212372237362446,0.0024455052251562896,MA0622.2,0.5513627561372303,9.194107174412042e-9,0.5362999899367374,Neural Progenitor
Yy1,0.5311919209227014,2.721201479758991e-5,MA0095.4,0.5380121611354987,2.1216756365138576e-5,0.5346020410291,Neural Progenitor
Mlxip,0.5598630545439056,8.13856761508787e-5,MA0622.2,0.6495037590782272,1.2133491446215169e-14,0.6046834068110665,Glutamatergic Precursor
Npas4,0.5212776606393628,4.264230149770382e-6,MA1995.2,0.5974953677081337,4.881712547420718e-7,0.5593865141737482,Glutamatergic Precursor
Tcf12,0.7615870304564657,1.1551493339468853e-63,MA0521.3,0.8848794261146135,8.692629331879716e-134,0.8232332282855396,GABAergic Neuron
Mafb,0.656958526687362,1.0190341522289144e-76,MA0117.3,0.82069478509107,1.7458404372813374e-93,0.738826655889216,GABAergic Neuron
Dlx2,0.6694016989736004,8.860050073499476e-113,MA0885.3,0.6121012008169049,7.528608525384121e-13,0.6407514498952527,GABAergic Neuron
Dlx5,0.6197142773954987,2.139271075912852e-67,MA1476.3,0.6536999884923447,8.366103745650309e-23,0.6367071329439217,GABAergic Neuron
Foxj3,0.5474001017664945,8.291113665446288e-4,MA0851.2,0.659939771982048,1.4700230564440251e-24,0.6036699368742713,GABAergic Neuron
Dlx5,0.6425172318720705,1.3567821509729275e-83,MA1476.3,0.6767537122375832,2.837584181928619e-26,0.6596354720548269,GABAergic Precursor
Rarb,0.6593379022411281,8.969905193381232e-110,MA0857.1,0.6103919020048052,3.5174478631247226e-11,0.6348649021229666,GABAergic Precursor
Esrrg,0.6091968962936705,1.1519107107719816e-20,MA0643.2,0.6519476938831777,7.773328516874157e-20,0.630572295088424,GABAergic Precursor
Dlx2,0.5923128126353933,8.591429375364478e-31,MA0885.3,0.6213375871440387,3.343116825822059e-13,0.6068251998897161,GABAergic Precursor
Arx,0.5869112607822285,1.513113432495057e-16,MA0874.2,0.5551010280042538,9.469121585212072e-4,0.5710061443932412,GABAergic Precursor
Isl1,0.582489267005396,3.8047097883102246e-90,MA1608.2,0.5495947063689,0.0029252760007463497,0.566041986687148,GABAergic Precursor
Plagl1,0.7582055399080541,2.9384144198459605e-155,MA1615.2,0.936157946441026,4.0339463892251006e-160,0.8471817431745401,Astrocytes
Sox6,0.9290074999183824,2.2798309446825567e-243,MA0515.1,0.6677902693975432,3.3038370619060795e-25,0.7983988846579628,Astrocytes
Creb5,0.93235679073536,1.685396e-318,MA0840.2,0.6057497395655568,6.262981511599754e-11,0.7690532651504585,Astrocytes
Zfx,0.5557077435841121,3.5440789383244993e-6,MA0146.3,0.9581583500773142,1.806762875572448e-176,0.7569330468307132,Astrocytes
Gli2,0.7857934124183452,4.404000341788772e-214,MA0734.4,0.7080656027684701,7.327595206531018e-38,0.7469295075934077,Astrocytes
Arx,0.5721737298070559,1.619614094008678e-12,MA0874.2,0.8244605074539157,1.7252038911352178e-89,0.6983171186304858,Astrocytes
