celltype,gene
(Pro-) Subiculum,LIPM;NPSR1;RAB38;FN1;KLHL1;ADAMTS2;NTS;STAC;TLE4;RXFP1
Activated Microglia,DOCK8;FYB;CSF3R;IKZF1;TMEM119;CCL4;ADAP2;OLFML3;RUNX1;SELPLG;DOCK2;FYB;SLCO2B1;ABCA9;RASGRP3;CX3CR1;LAIR1;UNC93B1;LAPTM5;CD53;P2RY12;ENTPD1;ITGB5;LY86;APBB1IP;HPGDS;ARHGAP22;CSF1R;P3H2;FCGR3;B4GALT1;ITGA9
Agt Astrocytes,FAM20A;EZR;CMTM5;BMPR1B;SDC4;SOX9;ACSBG1;MLC1;S100A1;F3;PRDM16;AQP4;ID4;HSD11B1;SLC6A11;RORB;ACOT11;GLI3;AGT;SLC39A12;ACSBG1
Astrocytes,FAM20A;EZR;BMPR1B;SOX9;ACSBG1;F3;PRDM16;AQP4;ID4;SLC6A11;RORB;ACOT11;GLI3;SLC39A12;ACSBG1
CA1-dorsal Principal,RGS14;SYT1;GRIN2A;GREM1;EGFL6;STRIP2;SLC9A2;LEFTY1;NPR3;GM10754;KLK8;WFS1;FIBCD1;LEFTY1;STAC;FIBCD1;HTR1B;SPINK8;STAC;SATB2;C1QL3
CA1-ventr Principal,RGS14;SYT1;GRIN2A;FIBCD1;DCN;DIO3;APELA;DLK1;ARHGAP36;LEFTY1;GPR101;GPC3;SATB2;C1QL3
CA2 Principal,VIT;AMIGO2;RGS14;DUSP5;STRIP2;MAP3K15;PCP4;HS3ST4;SYCE2;NTSR2;SOSTDC1
CA3-dorsal Principal,CLDN22;CD109;IYD;IFI203;PRSS35;CYP26B1;CPNE9;CYP26B1;HS3ST4;HOMER3;BOK;PRKCD
CA3-ventr Principal,NKD2;HS3ST4;BOK;COCH;VGLL3;BACE2;HOMER3
Cajal-Retzius,EBF3;TRP73;RELN;NHLH2;CACNA2D2;EYA2;LHX1OS
Choroid plexus,TMEM72;WFDC2;FOLR1;OTX2OS1;CLDN2;OTX2;CLIC6;KCNE2;SLC13A4
Dentate Hilum (CA4),CALB2;GLP1R;GRM8;DRD2;PRRX1;GAL;CHGA;CNTN6;VAT1;RAC3;AJAP1;GLRA3;ONECUT2;CPNE9;HPCAL1;DRD2;RBPMS2;CPNE9;C1QL3
Endothelial,ESAM;CDH5;LY6A;USHBP1;KANK3;CMTM8;FN1;PROM1;PLTP;OCLN;ABCB1A;EGFL7;CGNL1;FOXQ1;KLF4;FGD5;ID1;PGLYRP1;PAQR5;LTBP4;KLF2;GIMAP6;ATP10A;TEK;PRKCH;CYYR1;ABCC4;CLEC2D;EBF1;PTPRB;NOS3;PODXL;CLIC5;LEF1;SLC2A1;AFAP1L1;SLCO1A4;ROBO4;TIE1;MECOM;ZFP366;CLDN5;ENG;SOX18;HMCN1;HSPA12B;KITL;NOSTRIN;VWA1;FLT1;PECAM1;ABCG2
Ependymal,FOXJ1;SNTN;KRT15;TMEM212;DYNLRB2;CFAP126;CCDC146;CCDC153;AK7;SPAG17;ENKUR;SPAG17;SPA17;MLF1;RIIAD1;SPEF2;MEIG1
